ch1_path,ch2_path,ch1_baseline_v,ch1_baseline_std_v,ch1_peak_time_ns,ch1_amplitude_v,ch1_t0_ns,ch1_charge_v_s,ch1_saturated,ch2_baseline_v,ch2_baseline_std_v,ch2_peak_time_ns,ch2_amplitude_v,ch2_t0_ns,ch2_charge_v_s,ch2_saturated,delta_t_ns
/Users/virgolaema/Software/3det/Osc_Data/AmBe_therma_coincidence_1750V_3x3_sample/C1_06067.trc,/Users/virgolaema/Software/3det/Osc_Data/AmBe_therma_coincidence_1750V_3x3_sample/C2_06067.trc,-0.00403594970703125,0.006683247512038973,-78.07907062814861,2.3562028408050537,-82.00397270111566,3.4832921249783216e-08,False,-0.0025146484375,0.0008941884112188399,-22.45683877795521,0.043006104230880735,-25.152916382924115,3.799672295861944e-10,False,56.85105631819154
/Users/virgolaema/Software/3det/Osc_Data/AmBe_therma_coincidence_1750V_3x3_sample/C1_06068.trc,/Users/virgolaema/Software/3det/Osc_Data/AmBe_therma_coincidence_1750V_3x3_sample/C2_06068.trc,-0.005032229423522949,0.006608572011689238,-90.69210878125011,0.1932783842086792,-93.27814240234274,2.022659239702764e-09,False,-0.003178834915161133,0.0017014715340024382,-20.664119041797992,0.1054396778345108,-23.448565574803872,8.802335394884395e-10,False,69.82957682753886
/Users/virgolaema/Software/3det/Osc_Data/AmBe_therma_coincidence_1750V_3x3_sample/C1_06072.trc,/Users/virgolaema/Software/3det/Osc_Data/AmBe_therma_coincidence_1750V_3x3_sample/C2_06072.trc,-0.005032229423522949,0.0048807538929786995,-82.13724147040307,0.3327576041221619,-85.0083887504649,3.846580977117324e-09,False,-0.0036769747734069825,0.0016269179643262333,-20.312530529001055,0.11158340275287629,-23.297723871161978,9.568449106114696e-10,False,61.710664879302925
/Users/virgolaema/Software/3det/Osc_Data/AmBe_therma_coincidence_1750V_3x3_sample/C1_06073.trc,/Users/virgolaema/Software/3det/Osc_Data/AmBe_therma_coincidence_1750V_3x3_sample/C2_06073.trc,0.0009454488754272461,0.004455498341359315,-80.40631599064407,1.056057095527649,-83.40751555090631,1.1773764066101812e-08,False,-0.0028467416763305665,0.0014944195747375487,-23.383524345661638,0.03603214621543884,-25.669438010728037,2.412295331925997e-10,False,57.738077540178274
/Users/virgolaema/Software/3det/Osc_Data/AmBe_therma_coincidence_1750V_3x3_sample/C1_06083.trc,/Users/virgolaema/Software/3det/Osc_Data/AmBe_therma_coincidence_1750V_3x3_sample/C2_06083.trc,-0.007024788856506347,0.003985118865966797,-70.75096885569236,0.6196863412857055,-73.22529115981966,6.5752879005570856e-09,False,-0.003178834915161133,0.0015308741896823957,-20.130736272602682,0.14363041520118713,-23.10192401681572,1.6523273654248813e-09,False,50.12336714300395
/Users/virgolaema/Software/3det/Osc_Data/AmBe_therma_coincidence_1750V_3x3_sample/C1_06094.trc,/Users/virgolaema/Software/3det/Osc_Data/AmBe_therma_coincidence_1750V_3x3_sample/C2_06094.trc,-0.006028509140014649,0.004565527214172356,-80.44860170492989,0.2520588874816895,-83.77993321682098,2.7516300184544676e-09,False,-0.003510928153991699,0.0014944195747375489,-19.224130675580305,0.2545496463775635,-22.266596706650603,2.437677117187763e-09,False,61.513336510170376
/Users/virgolaema/Software/3det/Osc_Data/AmBe_therma_coincidence_1750V_3x3_sample/C1_06101.trc,/Users/virgolaema/Software/3det/Osc_Data/AmBe_therma_coincidence_1750V_3x3_sample/C2_06101.trc,-0.006028509140014649,0.004565527214172356,-98.94910186501441,0.1922821044921875,-101.41508750369655,2.2512973229752114e-09,False,-0.0036769747734069825,0.0014475608678955565,-20.317673386143888,0.07837405651807786,-23.879097088763494,7.307649766946451e-10,False,77.53599041493305
/Users/virgolaema/Software/3det/Osc_Data/AmBe_therma_coincidence_1750V_3x3_sample/C1_06129.trc,/Users/virgolaema/Software/3det/Osc_Data/AmBe_therma_coincidence_1750V_3x3_sample/C2_06129.trc,-0.008021068572998048,0.005365130467313039,-92.69690848809161,0.1902895450592041,-95.55305006960782,2.207244139809894e-09,False,-0.002680695056915283,0.0014475608678955565,-22.668918748639477,0.04117959141731262,-25.349990355807073,4.185719685112632e-10,False,70.20305971380074
/Users/virgolaema/Software/3det/Osc_Data/AmBe_therma_coincidence_1750V_3x3_sample/C1_06131.trc,/Users/virgolaema/Software/3det/Osc_Data/AmBe_therma_coincidence_1750V_3x3_sample/C2_06131.trc,-0.006028509140014649,0.006379302799930726,-86.46471511116862,0.24209609031677246,-89.47591866996505,2.7007993289236467e-09,False,-0.003344881534576416,0.0008134589821631167,-22.239044521556796,0.03719447255134582,-25.880499988008317,3.298010666458655e-10,False,63.59541868195674
/Users/virgolaema/Software/3det/Osc_Data/AmBe_therma_coincidence_1750V_3x3_sample/C1_06136.trc,/Users/virgolaema/Software/3det/Osc_Data/AmBe_therma_coincidence_1750V_3x3_sample/C2_06136.trc,-0.0010471105575561523,0.005977678298950195,-88.85196047366414,0.4064823627471924,-92.14661065759647,4.8077777967580445e-09,False,-0.0030127882957458494,0.0008134589821631167,-19.224130675580305,0.1803267478942871,-22.50794326036364,1.8617295274217073e-09,False,69.63866739723284
