file,energy_V_ns
C1_00000.trc,3.6823268430294602
C1_00001.trc,4.090765521174179
C1_00002.trc,3.188971192269008
C1_00003.trc,3.1656489251421513
C1_00004.trc,3.317542664891426
C1_00005.trc,3.1835891306243456
C1_00006.trc,3.5679081991763315
C1_00007.trc,3.456878260803164
C1_00008.trc,3.117409705956677
C1_00009.trc,3.4811972060123697
C1_00010.trc,3.393888205999001
C1_00011.trc,4.324586199292165
C1_00012.trc,3.670167370424858
C1_00013.trc,3.103655548420326
C1_00014.trc,3.36139650051458
C1_00015.trc,3.341662274484161
C1_00016.trc,3.578074315616241
C1_00017.trc,3.173423014184433
C1_00018.trc,3.697675685497568
C1_00019.trc,3.266114075842456
C1_00020.trc,3.0478415758090476
C1_00021.trc,3.2402004457015066
C1_00022.trc,3.316545986809081
C1_00023.trc,3.3430576237994405
C1_00024.trc,3.375748664900337
C1_00025.trc,3.227442966247497
C1_00026.trc,3.2419944662497278
C1_00027.trc,3.8224597814070775
C1_00028.trc,3.3729579662697726
C1_00029.trc,3.2852502950234723
C1_00030.trc,3.0906987333498463
C1_00031.trc,3.4504995210761655
C1_00032.trc,3.1855824867890306
C1_00033.trc,3.33448619229128
C1_00034.trc,3.3482403498276345
C1_00035.trc,3.2405991169344377
C1_00036.trc,2.9760807538802507
C1_00037.trc,3.186379829254907
C1_00038.trc,3.4415294183350635
C1_00039.trc,3.6259148635687724
C1_00040.trc,3.286844979955219
C1_00041.trc,3.8101009731860085
C1_00042.trc,3.409037712850639
C1_00043.trc,3.386911459422592
C1_00044.trc,4.061064514320319
C1_00045.trc,3.2190708703558
C1_00046.trc,3.28704431557169
C1_00047.trc,3.56412082246342
C1_00048.trc,3.1995359799418557
C1_00049.trc,3.4518948703914516
C1_00050.trc,3.383323418326155
C1_00051.trc,3.2569446374848923
C1_00052.trc,3.4353500142245337
C1_00053.trc,3.4977420621792814
C1_00054.trc,3.257741979950765
C1_00055.trc,3.465449692311328
C1_00056.trc,3.3751506580509334
C1_00057.trc,3.3418616101006293
C1_00058.trc,3.2306323361109985
C1_00059.trc,3.4102337265494507
C1_00060.trc,3.164054240210396
C1_00061.trc,3.0807319525264054
C1_00062.trc,3.387310130655533
C1_00063.trc,3.4190044936740804
C1_00064.trc,3.3334895142089374
C1_00065.trc,3.7941541238684957
C1_00066.trc,3.3099679114656118
C1_00067.trc,3.453290219706731
C1_00068.trc,3.358207130651077
C1_00069.trc,3.233622370358033
C1_00070.trc,3.118207048422556
C1_00071.trc,3.1068449182838256
C1_00072.trc,2.939203664833511
C1_00073.trc,3.516678945743827
C1_00074.trc,3.8726923567572347
C1_00075.trc,3.503323459440413
C1_00076.trc,3.7223933019397077
C1_00077.trc,3.372957966269773
C1_00078.trc,3.2453831717296957
C1_00079.trc,3.3697685964062725
C1_00080.trc,3.4768118224500553
C1_00081.trc,3.1893698635019403
C1_00082.trc,3.2695027813224264
C1_00083.trc,3.5972105347972527
C1_00084.trc,3.514286918346203
C1_00085.trc,3.8531574663432853
C1_00086.trc,3.423389877236397
C1_00087.trc,3.181795110076126
C1_00088.trc,3.2286389799463127
C1_00089.trc,3.897609308815841
C1_00090.trc,3.3960808977801653
C1_00091.trc,3.380931390928527
C1_00092.trc,3.284452952557591
C1_00093.trc,3.296811760778666
C1_00094.trc,3.233821705974501
C1_00095.trc,3.5296357608143043
C1_00096.trc,3.3765460073662155
C1_00097.trc,3.3741539799685825
C1_00098.trc,3.378140692297965
C1_00099.trc,3.242991144332072
C1_00100.trc,3.423389877236396
C1_00101.trc,3.159868192264547
C1_00102.trc,3.2238549251510618
C1_00103.trc,3.1903665415842886
C1_00104.trc,3.489967973136995
C1_00105.trc,3.4016622950412905
C1_00106.trc,3.428771938881057
C1_00107.trc,3.4983400690286937
C1_00108.trc,3.840798658122215
C1_00109.trc,4.306845329426439
C1_00110.trc,3.2188715347393355
C1_00111.trc,3.8826591375806743
C1_00112.trc,3.920134233476825
C1_00113.trc,3.1006655141732957
C1_00114.trc,3.0468448977267
C1_00115.trc,3.3787386991473705
C1_00116.trc,3.2382070895368185
C1_00117.trc,3.138140610069443
C1_00118.trc,3.210300103231175
C1_00119.trc,3.2489712128261354
C1_00120.trc,3.0029910621035483
C1_00121.trc,3.387509466272002
C1_00122.trc,3.388705479970814
C1_00123.trc,3.6344862950769334
C1_00124.trc,3.597409870413716
C1_00125.trc,3.3185393429737733
C1_00126.trc,3.238007753920346
C1_00127.trc,3.2015293361065433
C1_00128.trc,3.172227000485618
C1_00129.trc,3.422791870386993
C1_00130.trc,3.448306829295004
C1_00131.trc,3.4714297608053943
C1_00132.trc,3.392492856683721
C1_00133.trc,3.3566124457193265
C1_00134.trc,3.4188051580576153
C1_00135.trc,3.319934692289056
C1_00136.trc,3.7363467950925227
C1_00137.trc,3.3484396854441005
C1_00138.trc,3.638871678639246
C1_00139.trc,3.3924928566837202
C1_00140.trc,3.3358815416065632
C1_00141.trc,3.127177151163655
C1_00142.trc,3.3901008292860957
C1_00143.trc,3.0663797881406505
C1_00144.trc,3.5192703087579247
C1_00145.trc,3.34405430188179
C1_00146.trc,3.0906987333498472
C1_00147.trc,3.5244530347861134
C1_00148.trc,3.3677752402415826
C1_00149.trc,3.6478417813803476
C1_00150.trc,3.214486151177022
C1_00151.trc,3.2493698840590746
C1_00152.trc,3.2996024594092273
C1_00153.trc,3.234021041590972
C1_00154.trc,3.2204662196710867
C1_00155.trc,3.2035226922712345
C1_00156.trc,3.320732034754929
C1_00157.trc,3.295017740230443
C1_00158.trc,3.3568117813358
C1_00159.trc,3.08212730184169
C1_00160.trc,4.066845247197914
C1_00161.trc,3.1796024182949676
C1_00162.trc,3.0807319525264107
C1_00163.trc,3.1506987539069793
C1_00164.trc,3.6009979115101585
C1_00165.trc,3.2394031032356296
C1_00166.trc,3.229436322412183
C1_00167.trc,3.113622329243769
C1_00168.trc,3.224452932000462
C1_00169.trc,3.350233705992321
C1_00170.trc,3.2657154046095194
C1_00171.trc,3.1977419593936363
C1_00172.trc,3.696280336182282
C1_00173.trc,3.3291041306466167
C1_00174.trc,3.352426397773478
C1_00175.trc,3.433555993676311
C1_00176.trc,3.434552671758653
C1_00177.trc,4.061463185553253
C1_00178.trc,3.3213300416043348
C1_00179.trc,3.1405326374670675
C1_00180.trc,3.305183856670358
C1_00181.trc,3.630898253980491
C1_00182.trc,3.095682123761571
C1_00183.trc,3.628705562199334
C1_00184.trc,3.4265792470998995
C1_00185.trc,3.239403103235632
C1_00186.trc,3.2830576032423147
C1_00187.trc,3.3099679114656095
C1_00188.trc,3.3681739114745213
C1_00189.trc,3.2874429868046247
C1_00190.trc,3.4847852471088085
C1_00191.trc,3.3805327196955917
C1_00192.trc,3.4335559936763076
C1_00193.trc,3.3753499936673963
C1_00194.trc,3.426579247099899
C1_00195.trc,3.5547520484893798
C1_00196.trc,3.2860476374893484
C1_00197.trc,3.4253832334010847
C1_00198.trc,3.4945526923157852
